1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5E0000002EFC6741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Nov 29 16:55:01 CST 2014
Mission Sample Count:  1054
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Nov 29 16:55:01 CST 2014
Total Mission Samples:  1054
Total Device Samples:  10755
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/29/14 4:55:01 PM,%RH,75.97
11/29/14 5:25:01 PM,%RH,75.558
11/29/14 5:55:01 PM,%RH,76.519
11/29/14 6:25:01 PM,%RH,75.695
11/29/14 6:55:01 PM,%RH,75.282
11/29/14 7:25:01 PM,%RH,76.929
11/29/14 7:55:01 PM,%RH,75.144
11/29/14 8:25:01 PM,%RH,76.382
11/29/14 8:55:01 PM,%RH,75.833
11/29/14 9:25:01 PM,%RH,75.558
11/29/14 9:55:01 PM,%RH,75.97
11/29/14 10:25:01 PM,%RH,75.97
11/29/14 10:55:01 PM,%RH,75.006
11/29/14 11:25:01 PM,%RH,75.695
11/29/14 11:55:01 PM,%RH,76.108
11/30/14 12:25:01 AM,%RH,77.203
11/30/14 12:55:01 AM,%RH,76.519
11/30/14 1:25:01 AM,%RH,75.695
11/30/14 1:55:01 AM,%RH,75.97
11/30/14 2:25:01 AM,%RH,77.339
11/30/14 2:55:01 AM,%RH,75.833
11/30/14 3:25:01 AM,%RH,75.833
11/30/14 3:55:01 AM,%RH,75.558
11/30/14 4:25:01 AM,%RH,75.97
11/30/14 4:55:01 AM,%RH,75.42
11/30/14 5:25:01 AM,%RH,75.695
11/30/14 5:55:01 AM,%RH,76.245
11/30/14 6:25:01 AM,%RH,75.695
11/30/14 6:55:01 AM,%RH,75.833
11/30/14 7:25:01 AM,%RH,75.42
11/30/14 7:55:01 AM,%RH,76.245
11/30/14 8:25:01 AM,%RH,77.066
11/30/14 8:55:01 AM,%RH,75.97
11/30/14 9:25:01 AM,%RH,76.929
11/30/14 9:55:01 AM,%RH,76.108
11/30/14 10:25:01 AM,%RH,75.42
11/30/14 10:55:01 AM,%RH,76.245
11/30/14 11:25:01 AM,%RH,75.833
11/30/14 11:55:01 AM,%RH,75.97
