1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5E0000002EFC6741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Nov 29 16:55:01 CST 2014
Mission Sample Count:  1054
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Nov 29 16:55:01 CST 2014
Total Mission Samples:  1054
Total Device Samples:  10755
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/29/14 4:55:01 PM,C,22.884
11/29/14 5:25:01 PM,C,22.946
11/29/14 5:55:01 PM,C,22.946
11/29/14 6:25:01 PM,C,23.009
11/29/14 6:55:01 PM,C,23.009
11/29/14 7:25:01 PM,C,23.009
11/29/14 7:55:01 PM,C,23.009
11/29/14 8:25:01 PM,C,23.009
11/29/14 8:55:01 PM,C,22.946
11/29/14 9:25:01 PM,C,22.946
11/29/14 9:55:01 PM,C,22.946
11/29/14 10:25:01 PM,C,22.946
11/29/14 10:55:01 PM,C,22.946
11/29/14 11:25:01 PM,C,22.946
11/29/14 11:55:01 PM,C,22.946
11/30/14 12:25:01 AM,C,22.946
11/30/14 12:55:01 AM,C,22.946
11/30/14 1:25:01 AM,C,22.946
11/30/14 1:55:01 AM,C,22.946
11/30/14 2:25:01 AM,C,22.884
11/30/14 2:55:01 AM,C,22.946
11/30/14 3:25:01 AM,C,22.946
11/30/14 3:55:01 AM,C,22.946
11/30/14 4:25:01 AM,C,22.946
11/30/14 4:55:01 AM,C,22.946
11/30/14 5:25:01 AM,C,22.946
11/30/14 5:55:01 AM,C,22.946
11/30/14 6:25:01 AM,C,22.946
11/30/14 6:55:01 AM,C,22.946
11/30/14 7:25:01 AM,C,22.946
11/30/14 7:55:01 AM,C,22.946
11/30/14 8:25:01 AM,C,22.946
11/30/14 8:55:01 AM,C,22.946
11/30/14 9:25:01 AM,C,22.946
11/30/14 9:55:01 AM,C,22.946
11/30/14 10:25:01 AM,C,22.946
11/30/14 10:55:01 AM,C,22.946
11/30/14 11:25:01 AM,C,22.946
11/30/14 11:55:01 AM,C,22.946
11/30/14 12:25:01 PM,C,22.946
11/30/14 12:55:01 PM,C,22.946
11/30/14 1:25:01 PM,C,23.072
11/30/14 1:55:01 PM,C,22.634
11/30/14 2:25:01 PM,C,20.882
11/30/14 2:55:01 PM,C,19.631
11/30/14 3:25:01 PM,C,18.316
11/30/14 3:55:01 PM,C,17.001
11/30/14 4:25:01 PM,C,15.749
11/30/14 4:55:01 PM,C,14.558
11/30/14 5:25:01 PM,C,13.493
11/30/14 5:55:01 PM,C,12.49
11/30/14 6:25:01 PM,C,11.612
11/30/14 6:55:01 PM,C,10.797
11/30/14 7:25:01 PM,C,10.107
11/30/14 7:55:01 PM,C,9.417
11/30/14 8:25:01 PM,C,8.853
11/30/14 8:55:01 PM,C,8.288
11/30/14 9:25:01 PM,C,7.849
11/30/14 9:55:01 PM,C,7.409
11/30/14 10:25:01 PM,C,7.033
11/30/14 10:55:01 PM,C,6.656
11/30/14 11:25:01 PM,C,6.342
11/30/14 11:55:01 PM,C,5.966
12/1/14 12:25:01 AM,C,5.589
12/1/14 12:55:01 AM,C,5.275
12/1/14 1:25:01 AM,C,5.024
12/1/14 1:55:01 AM,C,4.773
12/1/14 2:25:01 AM,C,4.522
12/1/14 2:55:01 AM,C,4.27
12/1/14 3:25:01 AM,C,4.082
12/1/14 3:55:01 AM,C,3.831
12/1/14 4:25:01 AM,C,3.642
12/1/14 4:55:01 AM,C,3.454
12/1/14 5:25:01 AM,C,3.203
12/1/14 5:55:01 AM,C,3.014
12/1/14 6:25:01 AM,C,2.763
12/1/14 6:55:01 AM,C,2.511
12/1/14 7:25:01 AM,C,2.197
12/1/14 7:55:01 AM,C,1.883
12/1/14 8:25:01 AM,C,1.632
12/1/14 8:55:01 AM,C,1.443
12/1/14 9:25:01 AM,C,1.318
12/1/14 9:55:01 AM,C,1.255
12/1/14 10:25:01 AM,C,1.192
12/1/14 10:55:01 AM,C,1.255
12/1/14 11:25:01 AM,C,1.443
12/1/14 11:55:01 AM,C,1.632
12/1/14 12:25:01 PM,C,1.946
12/1/14 12:55:01 PM,C,2.197
12/1/14 1:25:01 PM,C,2.386
12/1/14 1:55:01 PM,C,2.511
12/1/14 2:25:01 PM,C,2.637
12/1/14 2:55:01 PM,C,2.637
12/1/14 3:25:01 PM,C,2.637
12/1/14 3:55:01 PM,C,2.511
12/1/14 4:25:01 PM,C,2.26
12/1/14 4:55:01 PM,C,2.009
12/1/14 5:25:01 PM,C,1.695
12/1/14 5:55:01 PM,C,1.443
12/1/14 6:25:01 PM,C,1.129
12/1/14 6:55:01 PM,C,0.815
12/1/14 7:25:01 PM,C,0.5
