1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5E0000002EFC6741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Jun 20 12:04:01 CDT 2015
Mission Sample Count:  2011
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 20 12:04:01 CDT 2015
Total Mission Samples:  2011
Total Device Samples:  21447
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/20/15 12:04:01 PM,%RH,102.34
6/20/15 12:34:01 PM,%RH,100.585
6/20/15 1:04:01 PM,%RH,99.165
6/20/15 1:34:01 PM,%RH,100.703
6/20/15 2:04:01 PM,%RH,100.35
6/20/15 2:34:01 PM,%RH,100.703
6/20/15 3:04:01 PM,%RH,100.232
6/20/15 3:34:01 PM,%RH,100.468
6/20/15 4:04:01 PM,%RH,100.585
6/20/15 4:34:01 PM,%RH,100.114
6/20/15 5:04:01 PM,%RH,99.996
6/20/15 5:34:01 PM,%RH,99.403
6/20/15 6:04:01 PM,%RH,99.996
6/20/15 6:34:01 PM,%RH,100.232
6/20/15 7:04:01 PM,%RH,100.232
6/20/15 7:34:01 PM,%RH,100.703
6/20/15 8:04:01 PM,%RH,99.996
6/20/15 8:34:01 PM,%RH,100.35
6/20/15 9:04:01 PM,%RH,100.232
6/20/15 9:34:01 PM,%RH,99.877
6/20/15 10:04:01 PM,%RH,99.877
6/20/15 10:34:01 PM,%RH,100.232
6/20/15 11:04:01 PM,%RH,100.35
6/20/15 11:34:01 PM,%RH,100.468
6/21/15 12:04:01 AM,%RH,101.173
6/21/15 12:34:01 AM,%RH,100.35
6/21/15 1:04:01 AM,%RH,100.703
6/21/15 1:34:01 AM,%RH,100.821
6/21/15 2:04:01 AM,%RH,101.173
6/21/15 2:34:01 AM,%RH,100.468
6/21/15 3:04:01 AM,%RH,100.821
6/21/15 3:34:01 AM,%RH,101.524
6/21/15 4:04:01 AM,%RH,100.821
6/21/15 4:34:01 AM,%RH,101.524
6/21/15 5:04:01 AM,%RH,100.938
6/21/15 5:34:01 AM,%RH,100.821
6/21/15 6:04:01 AM,%RH,101.524
6/21/15 6:34:01 AM,%RH,101.173
6/21/15 7:04:01 AM,%RH,101.407
6/21/15 7:34:01 AM,%RH,101.29
6/21/15 8:04:01 AM,%RH,102.456
6/21/15 8:34:01 AM,%RH,101.874
6/21/15 9:04:01 AM,%RH,103.035
6/21/15 9:34:01 AM,%RH,101.524
6/21/15 10:04:01 AM,%RH,101.407
6/21/15 10:34:01 AM,%RH,101.29
6/21/15 11:04:01 AM,%RH,101.055
6/21/15 11:34:01 AM,%RH,101.173
6/21/15 12:04:01 PM,%RH,100.468
6/21/15 12:34:01 PM,%RH,100.821
6/21/15 1:04:01 PM,%RH,101.641
6/21/15 1:34:01 PM,%RH,100.703
6/21/15 2:04:01 PM,%RH,100.585
6/21/15 2:34:01 PM,%RH,100.468
6/21/15 3:04:01 PM,%RH,100.232
6/21/15 3:34:01 PM,%RH,100.232
6/21/15 4:04:01 PM,%RH,100.585
6/21/15 4:34:01 PM,%RH,100.703
6/21/15 5:04:01 PM,%RH,100.468
6/21/15 5:34:01 PM,%RH,100.585
6/21/15 6:04:01 PM,%RH,100.114
6/21/15 6:34:01 PM,%RH,101.173
6/21/15 7:04:01 PM,%RH,101.055
6/21/15 7:34:01 PM,%RH,100.585
6/21/15 8:04:01 PM,%RH,100.585
6/21/15 8:34:01 PM,%RH,101.757
6/21/15 9:04:01 PM,%RH,101.055
6/21/15 9:34:01 PM,%RH,100.232
6/21/15 10:04:01 PM,%RH,100.703
6/21/15 10:34:01 PM,%RH,100.468
6/21/15 11:04:01 PM,%RH,100.703
6/21/15 11:34:01 PM,%RH,101.055
6/22/15 12:04:01 AM,%RH,100.938
6/22/15 12:34:01 AM,%RH,101.524
6/22/15 1:04:01 AM,%RH,100.468
6/22/15 1:34:01 AM,%RH,100.585
6/22/15 2:04:01 AM,%RH,100.585
6/22/15 2:34:01 AM,%RH,100.585
6/22/15 3:04:01 AM,%RH,101.173
6/22/15 3:34:01 AM,%RH,100.703
6/22/15 4:04:01 AM,%RH,101.524
6/22/15 4:34:01 AM,%RH,99.996
6/22/15 5:04:01 AM,%RH,101.407
6/22/15 5:34:01 AM,%RH,100.938
6/22/15 6:04:01 AM,%RH,101.055
6/22/15 6:34:01 AM,%RH,101.29
6/22/15 7:04:01 AM,%RH,101.407
6/22/15 7:34:01 AM,%RH,101.29
6/22/15 8:04:01 AM,%RH,101.991
6/22/15 8:34:01 AM,%RH,101.407
6/22/15 9:04:01 AM,%RH,101.29
6/22/15 9:34:01 AM,%RH,100.821
6/22/15 10:04:01 AM,%RH,101.757
6/22/15 10:34:01 AM,%RH,100.938
6/22/15 11:04:01 AM,%RH,101.29
6/22/15 11:34:01 AM,%RH,100.821
6/22/15 12:04:01 PM,%RH,100.703
6/22/15 12:34:01 PM,%RH,101.055
6/22/15 1:04:01 PM,%RH,100.821
6/22/15 1:34:01 PM,%RH,100.585
6/22/15 2:04:01 PM,%RH,100.468
6/22/15 2:34:01 PM,%RH,100.232
6/22/15 3:04:01 PM,%RH,99.759
6/22/15 3:34:01 PM,%RH,100.938
6/22/15 4:04:01 PM,%RH,100.468
6/22/15 4:34:01 PM,%RH,100.114
6/22/15 5:04:01 PM,%RH,100.114
6/22/15 5:34:01 PM,%RH,99.759
6/22/15 6:04:01 PM,%RH,100.232
6/22/15 6:34:01 PM,%RH,100.232
6/22/15 7:04:01 PM,%RH,100.585
6/22/15 7:34:01 PM,%RH,99.996
6/22/15 8:04:01 PM,%RH,99.877
6/22/15 8:34:01 PM,%RH,100.232
6/22/15 9:04:01 PM,%RH,101.757
6/22/15 9:34:01 PM,%RH,100.821
6/22/15 10:04:01 PM,%RH,100.585
6/22/15 10:34:01 PM,%RH,100.821
6/22/15 11:04:01 PM,%RH,100.35
6/22/15 11:34:01 PM,%RH,100.585
6/23/15 12:04:01 AM,%RH,100.703
6/23/15 12:34:01 AM,%RH,99.996
6/23/15 1:04:01 AM,%RH,100.35
6/23/15 1:34:01 AM,%RH,100.468
6/23/15 2:04:01 AM,%RH,100.585
6/23/15 2:34:01 AM,%RH,100.35
6/23/15 3:04:01 AM,%RH,100.821
6/23/15 3:34:01 AM,%RH,100.468
6/23/15 4:04:01 AM,%RH,101.874
6/23/15 4:34:01 AM,%RH,101.29
6/23/15 5:04:01 AM,%RH,100.938
6/23/15 5:34:01 AM,%RH,99.759
6/23/15 6:04:01 AM,%RH,100.938
6/23/15 6:34:01 AM,%RH,100.821
6/23/15 7:04:01 AM,%RH,100.938
6/23/15 7:34:01 AM,%RH,100.585
6/23/15 8:04:01 AM,%RH,100.821
6/23/15 8:34:01 AM,%RH,101.055
6/23/15 9:04:01 AM,%RH,101.173
6/23/15 9:34:01 AM,%RH,101.407
6/23/15 10:04:01 AM,%RH,100.468
6/23/15 10:34:01 AM,%RH,100.703
6/23/15 11:04:01 AM,%RH,99.64
6/23/15 11:34:01 AM,%RH,100.232
6/23/15 12:04:01 PM,%RH,100.468
6/23/15 12:34:01 PM,%RH,100.114
6/23/15 1:04:01 PM,%RH,100.468
6/23/15 1:34:01 PM,%RH,100.35
6/23/15 2:04:01 PM,%RH,100.35
6/23/15 2:34:01 PM,%RH,99.996
6/23/15 3:04:01 PM,%RH,99.64
6/23/15 3:34:01 PM,%RH,99.877
6/23/15 4:04:01 PM,%RH,99.759
6/23/15 4:34:01 PM,%RH,100.232
6/23/15 5:04:01 PM,%RH,99.64
6/23/15 5:34:01 PM,%RH,100.232
6/23/15 6:04:01 PM,%RH,99.759
6/23/15 6:34:01 PM,%RH,99.996
6/23/15 7:04:01 PM,%RH,99.877
6/23/15 7:34:01 PM,%RH,100.232
6/23/15 8:04:01 PM,%RH,100.468
6/23/15 8:34:01 PM,%RH,100.468
6/23/15 9:04:01 PM,%RH,100.938
6/23/15 9:34:01 PM,%RH,100.938
6/23/15 10:04:01 PM,%RH,100.821
6/23/15 10:34:01 PM,%RH,100.703
6/23/15 11:04:01 PM,%RH,100.35
6/23/15 11:34:01 PM,%RH,101.524
6/24/15 12:04:01 AM,%RH,101.407
6/24/15 12:34:01 AM,%RH,100.703
6/24/15 1:04:01 AM,%RH,100.232
6/24/15 1:34:01 AM,%RH,101.055
6/24/15 2:04:01 AM,%RH,101.055
6/24/15 2:34:01 AM,%RH,101.407
6/24/15 3:04:01 AM,%RH,101.055
6/24/15 3:34:01 AM,%RH,101.173
6/24/15 4:04:01 AM,%RH,102.223
6/24/15 4:34:01 AM,%RH,101.29
6/24/15 5:04:01 AM,%RH,101.524
6/24/15 5:34:01 AM,%RH,100.938
6/24/15 6:04:01 AM,%RH,102.107
6/24/15 6:34:01 AM,%RH,100.821
