1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5E0000002EFC6741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Jun 20 12:04:01 CDT 2015
Mission Sample Count:  2011
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 20 12:04:01 CDT 2015
Total Mission Samples:  2011
Total Device Samples:  21447
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/20/15 12:04:01 PM,C,23.509
6/20/15 12:34:01 PM,C,23.947
6/20/15 1:04:01 PM,C,24.447
6/20/15 1:34:01 PM,C,25.072
6/20/15 2:04:01 PM,C,25.697
6/20/15 2:34:01 PM,C,26.26
6/20/15 3:04:01 PM,C,26.885
6/20/15 3:34:01 PM,C,27.447
6/20/15 4:04:01 PM,C,27.947
6/20/15 4:34:01 PM,C,28.446
6/20/15 5:04:01 PM,C,28.884
6/20/15 5:34:01 PM,C,29.258
6/20/15 6:04:01 PM,C,29.57
6/20/15 6:34:01 PM,C,29.82
6/20/15 7:04:01 PM,C,29.945
6/20/15 7:34:01 PM,C,30.008
6/20/15 8:04:01 PM,C,30.008
6/20/15 8:34:01 PM,C,29.883
6/20/15 9:04:01 PM,C,29.758
6/20/15 9:34:01 PM,C,29.57
6/20/15 10:04:01 PM,C,29.321
6/20/15 10:34:01 PM,C,29.071
6/20/15 11:04:01 PM,C,28.821
6/20/15 11:34:01 PM,C,28.571
6/21/15 12:04:01 AM,C,28.259
6/21/15 12:34:01 AM,C,27.884
6/21/15 1:04:01 AM,C,27.509
6/21/15 1:34:01 AM,C,27.135
6/21/15 2:04:01 AM,C,26.635
6/21/15 2:34:01 AM,C,26.135
6/21/15 3:04:01 AM,C,25.635
6/21/15 3:34:01 AM,C,25.197
6/21/15 4:04:01 AM,C,24.76
6/21/15 4:34:01 AM,C,24.322
6/21/15 5:04:01 AM,C,23.947
6/21/15 5:34:01 AM,C,23.634
6/21/15 6:04:01 AM,C,23.384
6/21/15 6:34:01 AM,C,23.134
6/21/15 7:04:01 AM,C,22.884
6/21/15 7:34:01 AM,C,22.759
6/21/15 8:04:01 AM,C,22.634
6/21/15 8:34:01 AM,C,22.571
6/21/15 9:04:01 AM,C,22.571
6/21/15 9:34:01 AM,C,22.696
6/21/15 10:04:01 AM,C,22.821
6/21/15 10:34:01 AM,C,23.009
6/21/15 11:04:01 AM,C,23.259
6/21/15 11:34:01 AM,C,23.509
6/21/15 12:04:01 PM,C,23.759
6/21/15 12:34:01 PM,C,24.009
6/21/15 1:04:01 PM,C,24.385
6/21/15 1:34:01 PM,C,24.822
6/21/15 2:04:01 PM,C,25.322
6/21/15 2:34:01 PM,C,25.947
6/21/15 3:04:01 PM,C,26.572
6/21/15 3:34:01 PM,C,27.072
6/21/15 4:04:01 PM,C,27.634
6/21/15 4:34:01 PM,C,28.072
6/21/15 5:04:01 PM,C,28.446
6/21/15 5:34:01 PM,C,28.759
6/21/15 6:04:01 PM,C,29.008
6/21/15 6:34:01 PM,C,29.196
6/21/15 7:04:01 PM,C,29.321
6/21/15 7:34:01 PM,C,29.446
6/21/15 8:04:01 PM,C,29.446
6/21/15 8:34:01 PM,C,29.383
6/21/15 9:04:01 PM,C,29.196
6/21/15 9:34:01 PM,C,29.008
6/21/15 10:04:01 PM,C,28.759
6/21/15 10:34:01 PM,C,28.446
6/21/15 11:04:01 PM,C,28.197
6/21/15 11:34:01 PM,C,27.884
6/22/15 12:04:01 AM,C,27.634
6/22/15 12:34:01 AM,C,27.322
6/22/15 1:04:01 AM,C,27.072
6/22/15 1:34:01 AM,C,26.76
6/22/15 2:04:01 AM,C,26.51
6/22/15 2:34:01 AM,C,26.26
6/22/15 3:04:01 AM,C,26.072
6/22/15 3:34:01 AM,C,25.822
6/22/15 4:04:01 AM,C,25.635
6/22/15 4:34:01 AM,C,25.447
6/22/15 5:04:01 AM,C,25.26
6/22/15 5:34:01 AM,C,25.135
6/22/15 6:04:01 AM,C,24.947
6/22/15 6:34:01 AM,C,24.76
6/22/15 7:04:01 AM,C,24.635
6/22/15 7:34:01 AM,C,24.51
6/22/15 8:04:01 AM,C,24.447
6/22/15 8:34:01 AM,C,24.51
6/22/15 9:04:01 AM,C,24.697
6/22/15 9:34:01 AM,C,24.947
6/22/15 10:04:01 AM,C,25.385
6/22/15 10:34:01 AM,C,25.76
6/22/15 11:04:01 AM,C,26.135
6/22/15 11:34:01 AM,C,26.51
6/22/15 12:04:01 PM,C,26.885
6/22/15 12:34:01 PM,C,27.259
6/22/15 1:04:01 PM,C,27.634
6/22/15 1:34:01 PM,C,28.009
6/22/15 2:04:01 PM,C,28.446
6/22/15 2:34:01 PM,C,28.884
6/22/15 3:04:01 PM,C,29.383
6/22/15 3:34:01 PM,C,29.945
6/22/15 4:04:01 PM,C,30.445
6/22/15 4:34:01 PM,C,30.944
6/22/15 5:04:01 PM,C,31.256
6/22/15 5:34:01 PM,C,31.568
6/22/15 6:04:01 PM,C,31.755
6/22/15 6:34:01 PM,C,31.88
6/22/15 7:04:01 PM,C,31.943
6/22/15 7:34:01 PM,C,31.88
6/22/15 8:04:01 PM,C,31.755
6/22/15 8:34:01 PM,C,31.568
6/22/15 9:04:01 PM,C,31.319
6/22/15 9:34:01 PM,C,31.006
6/22/15 10:04:01 PM,C,30.757
6/22/15 10:34:01 PM,C,30.445
6/22/15 11:04:01 PM,C,30.132
6/22/15 11:34:01 PM,C,29.883
6/23/15 12:04:01 AM,C,29.633
6/23/15 12:34:01 AM,C,29.321
6/23/15 1:04:01 AM,C,29.071
6/23/15 1:34:01 AM,C,28.884
6/23/15 2:04:01 AM,C,28.634
6/23/15 2:34:01 AM,C,28.384
6/23/15 3:04:01 AM,C,28.072
6/23/15 3:34:01 AM,C,27.759
6/23/15 4:04:01 AM,C,27.447
6/23/15 4:34:01 AM,C,27.135
6/23/15 5:04:01 AM,C,26.822
6/23/15 5:34:01 AM,C,26.447
6/23/15 6:04:01 AM,C,26.135
6/23/15 6:34:01 AM,C,25.885
6/23/15 7:04:01 AM,C,25.635
6/23/15 7:34:01 AM,C,25.447
6/23/15 8:04:01 AM,C,25.26
6/23/15 8:34:01 AM,C,25.197
6/23/15 9:04:01 AM,C,25.197
6/23/15 9:34:01 AM,C,25.322
6/23/15 10:04:01 AM,C,25.51
6/23/15 10:34:01 AM,C,25.822
6/23/15 11:04:01 AM,C,26.197
6/23/15 11:34:01 AM,C,26.572
6/23/15 12:04:01 PM,C,27.01
6/23/15 12:34:01 PM,C,27.447
6/23/15 1:04:01 PM,C,27.884
6/23/15 1:34:01 PM,C,28.384
6/23/15 2:04:01 PM,C,28.884
6/23/15 2:34:01 PM,C,29.383
6/23/15 3:04:01 PM,C,29.883
6/23/15 3:34:01 PM,C,30.382
6/23/15 4:04:01 PM,C,30.757
6/23/15 4:34:01 PM,C,31.069
6/23/15 5:04:01 PM,C,31.319
6/23/15 5:34:01 PM,C,31.506
6/23/15 6:04:01 PM,C,31.568
6/23/15 6:34:01 PM,C,31.568
6/23/15 7:04:01 PM,C,31.443
6/23/15 7:34:01 PM,C,31.319
6/23/15 8:04:01 PM,C,31.069
6/23/15 8:34:01 PM,C,30.757
6/23/15 9:04:01 PM,C,30.382
6/23/15 9:34:01 PM,C,30.008
6/23/15 10:04:01 PM,C,29.57
6/23/15 10:34:01 PM,C,29.196
6/23/15 11:04:01 PM,C,28.821
6/23/15 11:34:01 PM,C,28.384
6/24/15 12:04:01 AM,C,28.009
6/24/15 12:34:01 AM,C,27.634
6/24/15 1:04:01 AM,C,27.259
6/24/15 1:34:01 AM,C,26.885
6/24/15 2:04:01 AM,C,26.572
6/24/15 2:34:01 AM,C,26.26
6/24/15 3:04:01 AM,C,25.947
6/24/15 3:34:01 AM,C,25.697
6/24/15 4:04:01 AM,C,25.447
6/24/15 4:34:01 AM,C,25.197
6/24/15 5:04:01 AM,C,25.01
6/24/15 5:34:01 AM,C,24.76
6/24/15 6:04:01 AM,C,24.51
6/24/15 6:34:01 AM,C,24.322
6/24/15 7:04:01 AM,C,24.135
6/24/15 7:34:01 AM,C,23.947
6/24/15 8:04:01 AM,C,23.884
6/24/15 8:34:01 AM,C,23.759
6/24/15 9:04:01 AM,C,23.697
6/24/15 9:34:01 AM,C,23.759
6/24/15 10:04:01 AM,C,23.822
6/24/15 10:34:01 AM,C,23.947
6/24/15 11:04:01 AM,C,24.009
6/24/15 11:34:01 AM,C,24.009
6/24/15 12:04:01 PM,C,24.072
6/24/15 12:34:01 PM,C,24.009
6/24/15 1:04:01 PM,C,24.009
6/24/15 1:34:01 PM,C,23.947
6/24/15 2:04:01 PM,C,23.947
6/24/15 2:34:01 PM,C,24.009
6/24/15 3:04:01 PM,C,24.135
6/24/15 3:34:01 PM,C,24.26
6/24/15 4:04:01 PM,C,24.51
6/24/15 4:34:01 PM,C,24.885
6/24/15 5:04:01 PM,C,25.26
6/24/15 5:34:01 PM,C,25.635
6/24/15 6:04:01 PM,C,26.01
6/24/15 6:34:01 PM,C,26.26
6/24/15 7:04:01 PM,C,26.51
6/24/15 7:34:01 PM,C,26.635
6/24/15 8:04:01 PM,C,26.76
6/24/15 8:34:01 PM,C,26.76
6/24/15 9:04:01 PM,C,26.635
6/24/15 9:34:01 PM,C,26.447
6/24/15 10:04:01 PM,C,26.26
6/24/15 10:34:01 PM,C,26.072
6/24/15 11:04:01 PM,C,25.822
6/24/15 11:34:01 PM,C,25.635
6/25/15 12:04:01 AM,C,25.385
6/25/15 12:34:01 AM,C,25.197
6/25/15 1:04:01 AM,C,25.01
6/25/15 1:34:01 AM,C,24.822
6/25/15 2:04:01 AM,C,24.572
6/25/15 2:34:01 AM,C,24.385
6/25/15 3:04:01 AM,C,24.197
6/25/15 3:34:01 AM,C,23.947
6/25/15 4:04:01 AM,C,23.697
6/25/15 4:34:01 AM,C,23.509
6/25/15 5:04:01 AM,C,23.322
6/25/15 5:34:01 AM,C,23.072
6/25/15 6:04:01 AM,C,22.884
6/25/15 6:34:01 AM,C,22.634
6/25/15 7:04:01 AM,C,22.446
6/25/15 7:34:01 AM,C,22.321
6/25/15 8:04:01 AM,C,22.196
6/25/15 8:34:01 AM,C,22.071
6/25/15 9:04:01 AM,C,22.008
6/25/15 9:34:01 AM,C,22.008
6/25/15 10:04:01 AM,C,22.133
6/25/15 10:34:01 AM,C,22.384
6/25/15 11:04:01 AM,C,22.821
6/25/15 11:34:01 AM,C,23.384
6/25/15 12:04:01 PM,C,23.822
6/25/15 12:34:01 PM,C,24.135
6/25/15 1:04:01 PM,C,24.385
6/25/15 1:34:01 PM,C,24.76
6/25/15 2:04:01 PM,C,25.322
6/25/15 2:34:01 PM,C,26.072
6/25/15 3:04:01 PM,C,26.76
6/25/15 3:34:01 PM,C,27.384
6/25/15 4:04:01 PM,C,27.947
6/25/15 4:34:01 PM,C,28.446
6/25/15 5:04:01 PM,C,28.759
6/25/15 5:34:01 PM,C,28.946
6/25/15 6:04:01 PM,C,29.133
6/25/15 6:34:01 PM,C,29.321
6/25/15 7:04:01 PM,C,29.508
6/25/15 7:34:01 PM,C,29.57
6/25/15 8:04:01 PM,C,29.57
6/25/15 8:34:01 PM,C,29.508
6/25/15 9:04:01 PM,C,29.321
6/25/15 9:34:01 PM,C,29.071
6/25/15 10:04:01 PM,C,28.821
6/25/15 10:34:01 PM,C,28.509
6/25/15 11:04:01 PM,C,28.197
6/25/15 11:34:01 PM,C,27.947
6/26/15 12:04:01 AM,C,27.634
6/26/15 12:34:01 AM,C,27.384
6/26/15 1:04:01 AM,C,27.135
6/26/15 1:34:01 AM,C,26.885
6/26/15 2:04:01 AM,C,26.635
6/26/15 2:34:01 AM,C,26.385
6/26/15 3:04:01 AM,C,26.197
6/26/15 3:34:01 AM,C,26.01
6/26/15 4:04:01 AM,C,25.822
6/26/15 4:34:01 AM,C,25.635
6/26/15 5:04:01 AM,C,25.447
6/26/15 5:34:01 AM,C,25.26
6/26/15 6:04:01 AM,C,25.072
6/26/15 6:34:01 AM,C,24.947
6/26/15 7:04:01 AM,C,24.76
6/26/15 7:34:01 AM,C,24.635
6/26/15 8:04:01 AM,C,24.51
6/26/15 8:34:01 AM,C,24.447
6/26/15 9:04:01 AM,C,24.385
6/26/15 9:34:01 AM,C,24.385
6/26/15 10:04:01 AM,C,24.385
6/26/15 10:34:01 AM,C,24.385
6/26/15 11:04:01 AM,C,24.322
6/26/15 11:34:01 AM,C,24.135
6/26/15 12:04:01 PM,C,24.009
6/26/15 12:34:01 PM,C,23.947
6/26/15 1:04:01 PM,C,23.884
6/26/15 1:34:01 PM,C,23.884
6/26/15 2:04:01 PM,C,23.822
6/26/15 2:34:01 PM,C,23.759
6/26/15 3:04:01 PM,C,23.634
6/26/15 3:34:01 PM,C,23.447
6/26/15 4:04:01 PM,C,23.322
6/26/15 4:34:01 PM,C,23.197
6/26/15 5:04:01 PM,C,23.197
6/26/15 5:34:01 PM,C,23.259
6/26/15 6:04:01 PM,C,23.322
6/26/15 6:34:01 PM,C,23.447
