1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5E0000002EFC6741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Aug 01 09:31:01 CDT 2015
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 01 20:31:01 CDT 2015
Total Mission Samples:  2070
Total Device Samples:  23517
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/1/15 8:31:01 PM,%RH,92.594
8/1/15 9:01:01 PM,%RH,92.221
8/1/15 9:31:01 PM,%RH,92.47
8/1/15 10:01:01 PM,%RH,91.971
8/1/15 10:31:01 PM,%RH,92.967
8/1/15 11:01:01 PM,%RH,92.221
8/1/15 11:31:01 PM,%RH,92.47
8/2/15 12:01:01 AM,%RH,92.345
8/2/15 12:31:01 AM,%RH,92.096
8/2/15 1:01:01 AM,%RH,92.843
8/2/15 1:31:01 AM,%RH,91.846
8/2/15 2:01:01 AM,%RH,92.594
8/2/15 2:31:01 AM,%RH,91.721
8/2/15 3:01:01 AM,%RH,92.221
8/2/15 3:31:01 AM,%RH,92.345
8/2/15 4:01:01 AM,%RH,92.221
8/2/15 4:31:01 AM,%RH,92.096
8/2/15 5:01:01 AM,%RH,92.843
8/2/15 5:31:01 AM,%RH,92.594
8/2/15 6:01:01 AM,%RH,91.721
8/2/15 6:31:01 AM,%RH,92.345
8/2/15 7:01:01 AM,%RH,92.221
8/2/15 7:31:01 AM,%RH,91.846
8/2/15 8:01:01 AM,%RH,92.221
8/2/15 8:31:01 AM,%RH,92.096
8/2/15 9:01:01 AM,%RH,92.096
8/2/15 9:31:01 AM,%RH,92.345
8/2/15 10:01:01 AM,%RH,91.971
8/2/15 10:31:01 AM,%RH,91.596
8/2/15 11:01:01 AM,%RH,91.721
8/2/15 11:31:01 AM,%RH,91.971
8/2/15 12:01:01 PM,%RH,91.971
8/2/15 12:31:01 PM,%RH,92.594
8/2/15 1:01:01 PM,%RH,91.47
8/2/15 1:31:01 PM,%RH,91.846
8/2/15 2:01:01 PM,%RH,92.47
8/2/15 2:31:01 PM,%RH,91.721
8/2/15 3:01:01 PM,%RH,91.345
8/2/15 3:31:01 PM,%RH,92.096
8/2/15 4:01:01 PM,%RH,92.594
8/2/15 4:31:01 PM,%RH,92.096
8/2/15 5:01:01 PM,%RH,92.096
