1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B700000027AE7641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Oct 08 19:04:01 CDT 2014
Mission Sample Count:  994
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Oct 08 19:04:01 CDT 2014
Total Mission Samples:  994
Total Device Samples:  16789
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/8/14 7:04:01 PM,C,23.648
10/8/14 7:14:01 PM,C,23.398
10/8/14 7:24:01 PM,C,23.461
10/8/14 7:34:01 PM,C,23.336
10/8/14 7:44:01 PM,C,23.211
10/8/14 7:54:01 PM,C,23.211
10/8/14 8:04:01 PM,C,22.461
10/8/14 8:14:01 PM,C,22.398
10/8/14 8:24:01 PM,C,22.586
10/8/14 8:34:01 PM,C,22.335
10/8/14 8:44:01 PM,C,22.023
10/8/14 8:54:01 PM,C,21.773
10/8/14 9:04:01 PM,C,24.711
10/8/14 9:14:01 PM,C,24.773
10/8/14 9:24:01 PM,C,24.773
10/8/14 9:34:01 PM,C,24.773
10/8/14 9:44:01 PM,C,24.773
10/8/14 9:54:01 PM,C,24.773
10/8/14 10:04:01 PM,C,24.773
10/8/14 10:14:01 PM,C,24.711
10/8/14 10:24:01 PM,C,24.711
10/8/14 10:34:01 PM,C,24.648
10/8/14 10:44:01 PM,C,24.648
10/8/14 10:54:01 PM,C,24.648
10/8/14 11:04:01 PM,C,24.586
10/8/14 11:14:01 PM,C,24.586
10/8/14 11:24:01 PM,C,24.586
10/8/14 11:34:01 PM,C,24.586
10/8/14 11:44:01 PM,C,24.586
10/8/14 11:54:01 PM,C,24.586
10/9/14 12:04:01 AM,C,24.648
10/9/14 12:14:01 AM,C,24.648
10/9/14 12:24:01 AM,C,24.711
10/9/14 12:34:01 AM,C,24.773
