1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0800000027B4EC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Oct 08 19:04:01 CDT 2014
Mission Sample Count:  994
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Oct 08 19:04:01 CDT 2014
Total Mission Samples:  994
Total Device Samples:  25775
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/8/14 7:04:01 PM,%RH,46.803
10/8/14 7:14:01 PM,%RH,43.659
10/8/14 7:24:01 PM,%RH,44.448
10/8/14 7:34:01 PM,%RH,43.975
10/8/14 7:44:01 PM,%RH,44.921
10/8/14 7:54:01 PM,%RH,44.448
10/8/14 8:04:01 PM,%RH,50.37
10/8/14 8:14:01 PM,%RH,46.021
10/8/14 8:24:01 PM,%RH,45.393
10/8/14 8:34:01 PM,%RH,46.959
10/8/14 8:44:01 PM,%RH,48.826
10/8/14 8:54:01 PM,%RH,49.445
10/8/14 9:04:01 PM,%RH,90.232
10/8/14 9:14:01 PM,%RH,95.549
10/8/14 9:24:01 PM,%RH,97.601
10/8/14 9:34:01 PM,%RH,98.199
10/8/14 9:44:01 PM,%RH,98.199
10/8/14 9:54:01 PM,%RH,97.481
10/8/14 10:04:01 PM,%RH,99.032
10/8/14 10:14:01 PM,%RH,98.794
10/8/14 10:24:01 PM,%RH,99.387
10/8/14 10:34:01 PM,%RH,98.675
10/8/14 10:44:01 PM,%RH,99.387
10/8/14 10:54:01 PM,%RH,98.913
10/8/14 11:04:01 PM,%RH,99.387
10/8/14 11:14:01 PM,%RH,99.742
10/8/14 11:24:01 PM,%RH,99.742
10/8/14 11:34:01 PM,%RH,99.15
10/8/14 11:44:01 PM,%RH,99.86
10/8/14 11:54:01 PM,%RH,99.742
10/9/14 12:04:01 AM,%RH,99.624
10/9/14 12:14:01 AM,%RH,100.096
10/9/14 12:24:01 AM,%RH,99.742
10/9/14 12:34:01 AM,%RH,99.742
10/9/14 12:44:01 AM,%RH,99.86
10/9/14 12:54:01 AM,%RH,100.213
