1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0800000027B4EC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Oct 08 19:04:01 CDT 2014
Mission Sample Count:  994
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Oct 08 19:04:01 CDT 2014
Total Mission Samples:  994
Total Device Samples:  25775
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/8/14 7:04:01 PM,C,23.502
10/8/14 7:14:01 PM,C,23.314
10/8/14 7:24:01 PM,C,23.564
10/8/14 7:34:01 PM,C,23.439
10/8/14 7:44:01 PM,C,23.252
10/8/14 7:54:01 PM,C,23.127
10/8/14 8:04:01 PM,C,22.314
10/8/14 8:14:01 PM,C,22.439
10/8/14 8:24:01 PM,C,22.564
10/8/14 8:34:01 PM,C,22.252
10/8/14 8:44:01 PM,C,21.939
10/8/14 8:54:01 PM,C,21.689
10/8/14 9:04:01 PM,C,24.377
10/8/14 9:14:01 PM,C,24.502
10/8/14 9:24:01 PM,C,24.564
10/8/14 9:34:01 PM,C,24.564
10/8/14 9:44:01 PM,C,24.627
10/8/14 9:54:01 PM,C,24.627
10/8/14 10:04:01 PM,C,24.627
10/8/14 10:14:01 PM,C,24.564
10/8/14 10:24:01 PM,C,24.564
10/8/14 10:34:01 PM,C,24.564
10/8/14 10:44:01 PM,C,24.502
10/8/14 10:54:01 PM,C,24.502
10/8/14 11:04:01 PM,C,24.439
10/8/14 11:14:01 PM,C,24.439
10/8/14 11:24:01 PM,C,24.439
10/8/14 11:34:01 PM,C,24.439
10/8/14 11:44:01 PM,C,24.439
10/8/14 11:54:01 PM,C,24.502
10/9/14 12:04:01 AM,C,24.502
10/9/14 12:14:01 AM,C,24.564
10/9/14 12:24:01 AM,C,24.564
10/9/14 12:34:01 AM,C,24.627
10/9/14 12:44:01 AM,C,24.689
10/9/14 12:54:01 AM,C,24.752
10/9/14 1:04:01 AM,C,24.814
10/9/14 1:14:01 AM,C,24.877
10/9/14 1:24:01 AM,C,24.939
10/9/14 1:34:01 AM,C,25.002
10/9/14 1:44:01 AM,C,25.127
10/9/14 1:54:01 AM,C,25.189
10/9/14 2:04:01 AM,C,25.314
10/9/14 2:14:01 AM,C,25.439
10/9/14 2:24:01 AM,C,25.564
10/9/14 2:34:01 AM,C,25.752
10/9/14 2:44:01 AM,C,25.877
10/9/14 2:54:01 AM,C,26.064
10/9/14 3:04:01 AM,C,26.252
10/9/14 3:14:01 AM,C,26.439
10/9/14 3:24:01 AM,C,26.689
10/9/14 3:34:01 AM,C,26.939
10/9/14 3:44:01 AM,C,27.189
10/9/14 3:54:01 AM,C,27.502
10/9/14 4:04:01 AM,C,27.752
10/9/14 4:14:01 AM,C,28.064
10/9/14 4:24:01 AM,C,28.439
10/9/14 4:34:01 AM,C,28.752
10/9/14 4:44:01 AM,C,29.126
10/9/14 4:54:01 AM,C,29.501
10/9/14 5:04:01 AM,C,29.876
10/9/14 5:14:01 AM,C,30.251
10/9/14 5:24:01 AM,C,30.688
10/9/14 5:34:01 AM,C,31.063
10/9/14 5:44:01 AM,C,31.501
10/9/14 5:54:01 AM,C,31.875
10/9/14 6:04:01 AM,C,32.313
10/9/14 6:14:01 AM,C,32.687
10/9/14 6:24:01 AM,C,33.125
10/9/14 6:34:01 AM,C,33.499
10/9/14 6:44:01 AM,C,33.874
10/9/14 6:54:01 AM,C,34.249
10/9/14 7:04:01 AM,C,34.624
10/9/14 7:14:01 AM,C,34.936
10/9/14 7:24:01 AM,C,35.311
10/9/14 7:34:01 AM,C,35.685
10/9/14 7:44:01 AM,C,36.06
10/9/14 7:54:01 AM,C,36.372
10/9/14 8:04:01 AM,C,36.685
10/9/14 8:14:01 AM,C,36.997
10/9/14 8:24:01 AM,C,37.247
10/9/14 8:34:01 AM,C,37.496
10/9/14 8:44:01 AM,C,37.684
10/9/14 8:54:01 AM,C,37.871
10/9/14 9:04:01 AM,C,37.996
10/9/14 9:14:01 AM,C,38.121
10/9/14 9:24:01 AM,C,38.246
10/9/14 9:34:01 AM,C,38.308
10/9/14 9:44:01 AM,C,38.308
10/9/14 9:54:01 AM,C,38.371
10/9/14 10:04:01 AM,C,38.308
10/9/14 10:14:01 AM,C,38.308
10/9/14 10:24:01 AM,C,38.308
10/9/14 10:34:01 AM,C,38.246
10/9/14 10:44:01 AM,C,38.183
10/9/14 10:54:01 AM,C,38.058
10/9/14 11:04:01 AM,C,37.996
10/9/14 11:14:01 AM,C,37.871
10/9/14 11:24:01 AM,C,37.746
10/9/14 11:34:01 AM,C,37.621
10/9/14 11:44:01 AM,C,37.496
10/9/14 11:54:01 AM,C,37.434
10/9/14 12:04:01 PM,C,37.309
10/9/14 12:14:01 PM,C,37.184
10/9/14 12:24:01 PM,C,36.997
10/9/14 12:34:01 PM,C,36.872
10/9/14 12:44:01 PM,C,36.747
10/9/14 12:54:01 PM,C,36.622
10/9/14 1:04:01 PM,C,36.497
10/9/14 1:14:01 PM,C,36.31
10/9/14 1:24:01 PM,C,36.185
10/9/14 1:34:01 PM,C,36.06
10/9/14 1:44:01 PM,C,35.935
10/9/14 1:54:01 PM,C,35.81
10/9/14 2:04:01 PM,C,35.685
10/9/14 2:14:01 PM,C,35.498
10/9/14 2:24:01 PM,C,35.373
10/9/14 2:34:01 PM,C,35.248
10/9/14 2:44:01 PM,C,35.123
10/9/14 2:54:01 PM,C,34.998
10/9/14 3:04:01 PM,C,34.874
10/9/14 3:14:01 PM,C,33.624
10/9/14 3:24:01 PM,C,33
10/9/14 3:34:01 PM,C,32.25
10/9/14 3:44:01 PM,C,31.501
10/9/14 3:54:01 PM,C,30.813
10/9/14 4:04:01 PM,C,30.189
10/9/14 4:14:01 PM,C,29.564
10/9/14 4:24:01 PM,C,29.001
10/9/14 4:34:01 PM,C,28.439
10/9/14 4:44:01 PM,C,27.939
10/9/14 4:54:01 PM,C,27.439
10/9/14 5:04:01 PM,C,27.002
10/9/14 5:14:01 PM,C,26.564
10/9/14 5:24:01 PM,C,26.127
10/9/14 5:34:01 PM,C,25.752
10/9/14 5:44:01 PM,C,25.377
10/9/14 5:54:01 PM,C,25.064
10/9/14 6:04:01 PM,C,24.752
10/9/14 6:14:01 PM,C,24.439
10/9/14 6:24:01 PM,C,24.127
10/9/14 6:34:01 PM,C,23.877
10/9/14 6:44:01 PM,C,23.564
10/9/14 6:54:01 PM,C,23.314
10/9/14 7:04:01 PM,C,23.127
10/9/14 7:14:01 PM,C,22.877
10/9/14 7:24:01 PM,C,22.689
10/9/14 7:34:01 PM,C,22.502
10/9/14 7:44:01 PM,C,22.314
10/9/14 7:54:01 PM,C,22.127
10/9/14 8:04:01 PM,C,21.939
10/9/14 8:14:01 PM,C,21.814
10/9/14 8:24:01 PM,C,21.626
10/9/14 8:34:01 PM,C,21.501
10/9/14 8:44:01 PM,C,21.376
10/9/14 8:54:01 PM,C,21.251
10/9/14 9:04:01 PM,C,21.126
10/9/14 9:14:01 PM,C,21.001
10/9/14 9:24:01 PM,C,20.876
10/9/14 9:34:01 PM,C,20.751
10/9/14 9:44:01 PM,C,20.689
10/9/14 9:54:01 PM,C,20.564
10/9/14 10:04:01 PM,C,20.501
10/9/14 10:14:01 PM,C,20.376
10/9/14 10:24:01 PM,C,20.314
10/9/14 10:34:01 PM,C,20.251
10/9/14 10:44:01 PM,C,20.126
10/9/14 10:54:01 PM,C,20.063
10/9/14 11:04:01 PM,C,20.063
10/9/14 11:14:01 PM,C,20.001
10/9/14 11:24:01 PM,C,19.938
10/9/14 11:34:01 PM,C,19.813
10/9/14 11:44:01 PM,C,19.813
10/9/14 11:54:01 PM,C,19.751
10/10/14 12:04:01 AM,C,19.688
10/10/14 12:14:01 AM,C,19.626
10/10/14 12:24:01 AM,C,19.563
10/10/14 12:34:01 AM,C,19.501
10/10/14 12:44:01 AM,C,19.501
10/10/14 12:54:01 AM,C,19.438
10/10/14 1:04:01 AM,C,19.438
10/10/14 1:14:01 AM,C,19.376
