1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8C00000027AE1D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Oct 08 19:01:01 CDT 2014
Mission Sample Count:  993
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Oct 08 19:01:01 CDT 2014
Total Mission Samples:  993
Total Device Samples:  24963
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/8/14 7:01:01 PM,%RH,42.808
10/8/14 7:11:01 PM,%RH,44.558
10/8/14 7:21:01 PM,%RH,42.808
10/8/14 7:31:01 PM,%RH,43.286
10/8/14 7:41:01 PM,%RH,42.648
10/8/14 7:51:01 PM,%RH,42.488
10/8/14 8:01:01 PM,%RH,45.823
10/8/14 8:11:01 PM,%RH,43.923
10/8/14 8:21:01 PM,%RH,42.328
10/8/14 8:31:01 PM,%RH,44.558
10/8/14 8:41:01 PM,%RH,44.558
10/8/14 8:51:01 PM,%RH,46.453
10/8/14 9:01:01 PM,%RH,48.021
10/8/14 9:11:01 PM,%RH,75.194
10/8/14 9:21:01 PM,%RH,90.832
10/8/14 9:31:01 PM,%RH,93.195
10/8/14 9:41:01 PM,%RH,94.302
10/8/14 9:51:01 PM,%RH,95.4
10/8/14 10:01:01 PM,%RH,96.611
10/8/14 10:11:01 PM,%RH,97.212
10/8/14 10:21:01 PM,%RH,97.212
10/8/14 10:31:01 PM,%RH,97.452
10/8/14 10:41:01 PM,%RH,97.092
10/8/14 10:51:01 PM,%RH,97.572
10/8/14 11:01:01 PM,%RH,97.931
10/8/14 11:11:01 PM,%RH,98.527
10/8/14 11:21:01 PM,%RH,98.289
10/8/14 11:31:01 PM,%RH,98.646
10/8/14 11:41:01 PM,%RH,98.646
10/8/14 11:51:01 PM,%RH,98.527
10/9/14 12:01:01 AM,%RH,98.527
10/9/14 12:11:01 AM,%RH,98.764
10/9/14 12:21:01 AM,%RH,98.289
10/9/14 12:31:01 AM,%RH,99.002
10/9/14 12:41:01 AM,%RH,99.947
10/9/14 12:51:01 AM,%RH,99.12
10/9/14 1:01:01 AM,%RH,98.289
10/9/14 1:11:01 AM,%RH,98.408
10/9/14 1:21:01 AM,%RH,98.646
10/9/14 1:31:01 AM,%RH,99.002
10/9/14 1:41:01 AM,%RH,99.002
10/9/14 1:51:01 AM,%RH,99.357
10/9/14 2:01:01 AM,%RH,99.002
10/9/14 2:11:01 AM,%RH,99.002
10/9/14 2:21:01 AM,%RH,99.002
10/9/14 2:31:01 AM,%RH,99.12
10/9/14 2:41:01 AM,%RH,98.883
10/9/14 2:51:01 AM,%RH,99.12
10/9/14 3:01:01 AM,%RH,98.646
10/9/14 3:11:01 AM,%RH,98.764
10/9/14 3:21:01 AM,%RH,98.527
10/9/14 3:31:01 AM,%RH,98.169
10/9/14 3:41:01 AM,%RH,98.169
10/9/14 3:51:01 AM,%RH,98.169
10/9/14 4:01:01 AM,%RH,98.408
10/9/14 4:11:01 AM,%RH,98.05
10/9/14 4:21:01 AM,%RH,98.408
10/9/14 4:31:01 AM,%RH,97.931
10/9/14 4:41:01 AM,%RH,97.572
10/9/14 4:51:01 AM,%RH,96.611
10/9/14 5:01:01 AM,%RH,97.332
10/9/14 5:11:01 AM,%RH,97.092
10/9/14 5:21:01 AM,%RH,97.332
10/9/14 5:31:01 AM,%RH,96.731
10/9/14 5:41:01 AM,%RH,96.249
10/9/14 5:51:01 AM,%RH,97.092
10/9/14 6:01:01 AM,%RH,96.49
10/9/14 6:11:01 AM,%RH,95.521
10/9/14 6:21:01 AM,%RH,95.4
10/9/14 6:31:01 AM,%RH,95.764
10/9/14 6:41:01 AM,%RH,95.885
10/9/14 6:51:01 AM,%RH,95.157
10/9/14 7:01:01 AM,%RH,95.278
10/9/14 7:11:01 AM,%RH,95.035
10/9/14 7:21:01 AM,%RH,95.157
10/9/14 7:31:01 AM,%RH,95.643
10/9/14 7:41:01 AM,%RH,95.4
10/9/14 7:51:01 AM,%RH,94.669
10/9/14 8:01:01 AM,%RH,95.035
