1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8C00000027AE1D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Oct 08 19:01:01 CDT 2014
Mission Sample Count:  993
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Oct 08 19:01:01 CDT 2014
Total Mission Samples:  993
Total Device Samples:  24963
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/8/14 7:01:01 PM,C,23.773
10/8/14 7:11:01 PM,C,23.086
10/8/14 7:21:01 PM,C,23.273
10/8/14 7:31:01 PM,C,23.648
10/8/14 7:41:01 PM,C,23.398
10/8/14 7:51:01 PM,C,22.898
10/8/14 8:01:01 PM,C,22.461
10/8/14 8:11:01 PM,C,22.273
10/8/14 8:21:01 PM,C,22.711
10/8/14 8:31:01 PM,C,22.21
10/8/14 8:41:01 PM,C,21.898
10/8/14 8:51:01 PM,C,21.71
10/8/14 9:01:01 PM,C,21.71
10/8/14 9:11:01 PM,C,23.523
10/8/14 9:21:01 PM,C,23.711
10/8/14 9:31:01 PM,C,23.461
10/8/14 9:41:01 PM,C,23.523
10/8/14 9:51:01 PM,C,23.586
10/8/14 10:01:01 PM,C,23.648
10/8/14 10:11:01 PM,C,23.711
10/8/14 10:21:01 PM,C,23.711
10/8/14 10:31:01 PM,C,23.711
10/8/14 10:41:01 PM,C,23.773
10/8/14 10:51:01 PM,C,23.773
10/8/14 11:01:01 PM,C,23.773
10/8/14 11:11:01 PM,C,23.898
10/8/14 11:21:01 PM,C,23.961
10/8/14 11:31:01 PM,C,24.023
10/8/14 11:41:01 PM,C,24.086
10/8/14 11:51:01 PM,C,24.086
10/9/14 12:01:01 AM,C,24.148
10/9/14 12:11:01 AM,C,24.211
10/9/14 12:21:01 AM,C,24.273
10/9/14 12:31:01 AM,C,24.336
10/9/14 12:41:01 AM,C,24.398
10/9/14 12:51:01 AM,C,24.461
10/9/14 1:01:01 AM,C,24.523
10/9/14 1:11:01 AM,C,24.586
10/9/14 1:21:01 AM,C,24.648
10/9/14 1:31:01 AM,C,24.711
10/9/14 1:41:01 AM,C,24.836
10/9/14 1:51:01 AM,C,24.898
10/9/14 2:01:01 AM,C,25.023
10/9/14 2:11:01 AM,C,25.148
10/9/14 2:21:01 AM,C,25.273
10/9/14 2:31:01 AM,C,25.398
10/9/14 2:41:01 AM,C,25.586
10/9/14 2:51:01 AM,C,25.773
10/9/14 3:01:01 AM,C,25.898
10/9/14 3:11:01 AM,C,26.148
10/9/14 3:21:01 AM,C,26.336
10/9/14 3:31:01 AM,C,26.586
10/9/14 3:41:01 AM,C,26.836
10/9/14 3:51:01 AM,C,27.085
10/9/14 4:01:01 AM,C,27.398
10/9/14 4:11:01 AM,C,27.71
10/9/14 4:21:01 AM,C,28.022
10/9/14 4:31:01 AM,C,28.335
10/9/14 4:41:01 AM,C,28.709
10/9/14 4:51:01 AM,C,29.022
10/9/14 5:01:01 AM,C,29.396
10/9/14 5:11:01 AM,C,29.771
10/9/14 5:21:01 AM,C,30.146
10/9/14 5:31:01 AM,C,30.52
10/9/14 5:41:01 AM,C,30.895
10/9/14 5:51:01 AM,C,31.269
10/9/14 6:01:01 AM,C,31.644
10/9/14 6:11:01 AM,C,32.018
10/9/14 6:21:01 AM,C,32.33
10/9/14 6:31:01 AM,C,32.643
10/9/14 6:41:01 AM,C,32.892
10/9/14 6:51:01 AM,C,33.204
10/9/14 7:01:01 AM,C,33.516
