1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5B0000002EFDDD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Oct 08 19:05:01 CDT 2014
Mission Sample Count:  993
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Oct 08 19:05:01 CDT 2014
Total Mission Samples:  993
Total Device Samples:  12273
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/8/14 7:05:01 PM,%RH,43.159
10/8/14 7:15:01 PM,%RH,39.797
10/8/14 7:25:01 PM,%RH,42.203
10/8/14 7:35:01 PM,%RH,41.723
10/8/14 7:45:01 PM,%RH,40.922
10/8/14 7:55:01 PM,%RH,40.922
10/8/14 8:05:01 PM,%RH,45.692
10/8/14 8:15:01 PM,%RH,42.362
10/8/14 8:25:01 PM,%RH,42.84
10/8/14 8:35:01 PM,%RH,43.635
10/8/14 8:45:01 PM,%RH,44.428
10/8/14 8:55:01 PM,%RH,45.849
10/8/14 9:05:01 PM,%RH,62.595
10/8/14 9:15:01 PM,%RH,93.266
10/8/14 9:25:01 PM,%RH,95.264
10/8/14 9:35:01 PM,%RH,96.993
10/8/14 9:45:01 PM,%RH,96.747
10/8/14 9:55:01 PM,%RH,96.624
10/8/14 10:05:01 PM,%RH,96.131
10/8/14 10:15:01 PM,%RH,96.747
10/8/14 10:25:01 PM,%RH,96.747
10/8/14 10:35:01 PM,%RH,96.624
10/8/14 10:45:01 PM,%RH,96.254
10/8/14 10:55:01 PM,%RH,96.993
10/8/14 11:05:01 PM,%RH,97.115
10/8/14 11:15:01 PM,%RH,97.238
10/8/14 11:25:01 PM,%RH,97.605
10/8/14 11:35:01 PM,%RH,97.483
10/8/14 11:45:01 PM,%RH,98.094
10/8/14 11:55:01 PM,%RH,97.972
10/9/14 12:05:01 AM,%RH,98.216
10/9/14 12:15:01 AM,%RH,98.581
10/9/14 12:25:01 AM,%RH,98.581
10/9/14 12:35:01 AM,%RH,98.581
10/9/14 12:45:01 AM,%RH,98.094
10/9/14 12:55:01 AM,%RH,98.459
10/9/14 1:05:01 AM,%RH,98.702
10/9/14 1:15:01 AM,%RH,99.308
10/9/14 1:25:01 AM,%RH,98.337
10/9/14 1:35:01 AM,%RH,99.55
10/9/14 1:45:01 AM,%RH,98.945
10/9/14 1:55:01 AM,%RH,98.216
10/9/14 2:05:01 AM,%RH,99.066
10/9/14 2:15:01 AM,%RH,98.337
10/9/14 2:25:01 AM,%RH,99.066
10/9/14 2:35:01 AM,%RH,98.581
10/9/14 2:45:01 AM,%RH,98.581
10/9/14 2:55:01 AM,%RH,99.066
10/9/14 3:05:01 AM,%RH,97.361
10/9/14 3:15:01 AM,%RH,98.945
10/9/14 3:25:01 AM,%RH,98.459
10/9/14 3:35:01 AM,%RH,98.702
10/9/14 3:45:01 AM,%RH,99.429
10/9/14 3:55:01 AM,%RH,98.702
10/9/14 4:05:01 AM,%RH,98.945
10/9/14 4:15:01 AM,%RH,98.216
10/9/14 4:25:01 AM,%RH,98.459
10/9/14 4:35:01 AM,%RH,98.824
10/9/14 4:45:01 AM,%RH,97.605
10/9/14 4:55:01 AM,%RH,98.337
10/9/14 5:05:01 AM,%RH,98.702
10/9/14 5:15:01 AM,%RH,98.094
10/9/14 5:25:01 AM,%RH,98.216
10/9/14 5:35:01 AM,%RH,97.605
10/9/14 5:45:01 AM,%RH,97.972
10/9/14 5:55:01 AM,%RH,98.337
10/9/14 6:05:01 AM,%RH,97.728
10/9/14 6:15:01 AM,%RH,97.972
10/9/14 6:25:01 AM,%RH,97.238
10/9/14 6:35:01 AM,%RH,97.972
10/9/14 6:45:01 AM,%RH,98.094
10/9/14 6:55:01 AM,%RH,98.094
10/9/14 7:05:01 AM,%RH,97.85
10/9/14 7:15:01 AM,%RH,97.483
10/9/14 7:25:01 AM,%RH,98.216
10/9/14 7:35:01 AM,%RH,98.216
10/9/14 7:45:01 AM,%RH,96.87
10/9/14 7:55:01 AM,%RH,98.094
10/9/14 8:05:01 AM,%RH,97.605
10/9/14 8:15:01 AM,%RH,98.216
10/9/14 8:25:01 AM,%RH,97.85
10/9/14 8:35:01 AM,%RH,98.094
10/9/14 8:45:01 AM,%RH,98.094
10/9/14 8:55:01 AM,%RH,97.85
10/9/14 9:05:01 AM,%RH,98.216
10/9/14 9:15:01 AM,%RH,98.216
10/9/14 9:25:01 AM,%RH,98.216
10/9/14 9:35:01 AM,%RH,98.094
10/9/14 9:45:01 AM,%RH,98.824
10/9/14 9:55:01 AM,%RH,98.702
10/9/14 10:05:01 AM,%RH,97.85
10/9/14 10:15:01 AM,%RH,99.187
10/9/14 10:25:01 AM,%RH,98.702
10/9/14 10:35:01 AM,%RH,98.094
10/9/14 10:45:01 AM,%RH,98.216
10/9/14 10:55:01 AM,%RH,99.066
10/9/14 11:05:01 AM,%RH,98.945
10/9/14 11:15:01 AM,%RH,98.945
10/9/14 11:25:01 AM,%RH,98.945
10/9/14 11:35:01 AM,%RH,100.032
10/9/14 11:45:01 AM,%RH,99.187
10/9/14 11:55:01 AM,%RH,99.671
10/9/14 12:05:01 PM,%RH,98.581
10/9/14 12:15:01 PM,%RH,99.308
10/9/14 12:25:01 PM,%RH,98.581
10/9/14 12:35:01 PM,%RH,98.945
10/9/14 12:45:01 PM,%RH,98.945
10/9/14 12:55:01 PM,%RH,97.605
10/9/14 1:05:01 PM,%RH,99.55
10/9/14 1:15:01 PM,%RH,99.791
10/9/14 1:25:01 PM,%RH,99.187
10/9/14 1:35:01 PM,%RH,98.945
10/9/14 1:45:01 PM,%RH,99.429
10/9/14 1:55:01 PM,%RH,99.308
10/9/14 2:05:01 PM,%RH,99.308
10/9/14 2:15:01 PM,%RH,99.308
10/9/14 2:25:01 PM,%RH,99.55
10/9/14 2:35:01 PM,%RH,99.671
10/9/14 2:45:01 PM,%RH,98.824
10/9/14 2:55:01 PM,%RH,99.791
10/9/14 3:05:01 PM,%RH,99.912
10/9/14 3:15:01 PM,%RH,99.912
10/9/14 3:25:01 PM,%RH,100.273
10/9/14 3:35:01 PM,%RH,100.153
10/9/14 3:45:01 PM,%RH,100.153
10/9/14 3:55:01 PM,%RH,101.112
10/9/14 4:05:01 PM,%RH,101.351
10/9/14 4:15:01 PM,%RH,101.947
10/9/14 4:25:01 PM,%RH,101.351
10/9/14 4:35:01 PM,%RH,102.422
10/9/14 4:45:01 PM,%RH,102.422
10/9/14 4:55:01 PM,%RH,102.54
10/9/14 5:05:01 PM,%RH,102.658
10/9/14 5:15:01 PM,%RH,102.777
10/9/14 5:25:01 PM,%RH,102.895
10/9/14 5:35:01 PM,%RH,102.303
10/9/14 5:45:01 PM,%RH,102.777
10/9/14 5:55:01 PM,%RH,101.828
10/9/14 6:05:01 PM,%RH,103.367
10/9/14 6:15:01 PM,%RH,102.422
10/9/14 6:25:01 PM,%RH,103.249
10/9/14 6:35:01 PM,%RH,103.367
10/9/14 6:45:01 PM,%RH,102.895
10/9/14 6:55:01 PM,%RH,103.013
10/9/14 7:05:01 PM,%RH,103.837
10/9/14 7:15:01 PM,%RH,103.131
10/9/14 7:25:01 PM,%RH,102.895
10/9/14 7:35:01 PM,%RH,103.013
10/9/14 7:45:01 PM,%RH,103.837
10/9/14 7:55:01 PM,%RH,103.602
10/9/14 8:05:01 PM,%RH,103.484
10/9/14 8:15:01 PM,%RH,103.954
10/9/14 8:25:01 PM,%RH,103.249
10/9/14 8:35:01 PM,%RH,103.719
10/9/14 8:45:01 PM,%RH,103.484
10/9/14 8:55:01 PM,%RH,103.484
10/9/14 9:05:01 PM,%RH,103.484
10/9/14 9:15:01 PM,%RH,102.895
10/9/14 9:25:01 PM,%RH,103.249
10/9/14 9:35:01 PM,%RH,103.837
10/9/14 9:45:01 PM,%RH,103.484
10/9/14 9:55:01 PM,%RH,103.719
10/9/14 10:05:01 PM,%RH,103.367
10/9/14 10:15:01 PM,%RH,104.071
10/9/14 10:25:01 PM,%RH,103.602
10/9/14 10:35:01 PM,%RH,103.719
10/9/14 10:45:01 PM,%RH,103.013
10/9/14 10:55:01 PM,%RH,102.54
10/9/14 11:05:01 PM,%RH,103.837
10/9/14 11:15:01 PM,%RH,103.837
10/9/14 11:25:01 PM,%RH,103.602
10/9/14 11:35:01 PM,%RH,103.837
10/9/14 11:45:01 PM,%RH,103.837
10/9/14 11:55:01 PM,%RH,103.484
10/10/14 12:05:01 AM,%RH,103.367
10/10/14 12:15:01 AM,%RH,103.602
10/10/14 12:25:01 AM,%RH,104.071
10/10/14 12:35:01 AM,%RH,103.954
10/10/14 12:45:01 AM,%RH,103.719
10/10/14 12:55:01 AM,%RH,103.719
10/10/14 1:05:01 AM,%RH,103.954
10/10/14 1:15:01 AM,%RH,103.954
10/10/14 1:25:01 AM,%RH,103.602
10/10/14 1:35:01 AM,%RH,103.954
10/10/14 1:45:01 AM,%RH,103.954
10/10/14 1:55:01 AM,%RH,103.367
10/10/14 2:05:01 AM,%RH,103.954
10/10/14 2:15:01 AM,%RH,103.013
10/10/14 2:25:01 AM,%RH,103.484
10/10/14 2:35:01 AM,%RH,103.837
10/10/14 2:45:01 AM,%RH,103.602
10/10/14 2:55:01 AM,%RH,104.188
10/10/14 3:05:01 AM,%RH,104.071
10/10/14 3:15:01 AM,%RH,103.954
10/10/14 3:25:01 AM,%RH,103.719
10/10/14 3:35:01 AM,%RH,103.719
10/10/14 3:45:01 AM,%RH,103.719
10/10/14 3:55:01 AM,%RH,103.719
10/10/14 4:05:01 AM,%RH,103.954
10/10/14 4:15:01 AM,%RH,103.602
10/10/14 4:25:01 AM,%RH,103.719
10/10/14 4:35:01 AM,%RH,103.602
10/10/14 4:45:01 AM,%RH,103.837
10/10/14 4:55:01 AM,%RH,103.837
10/10/14 5:05:01 AM,%RH,103.719
10/10/14 5:15:01 AM,%RH,103.837
10/10/14 5:25:01 AM,%RH,103.249
10/10/14 5:35:01 AM,%RH,103.719
10/10/14 5:45:01 AM,%RH,103.367
10/10/14 5:55:01 AM,%RH,103.602
10/10/14 6:05:01 AM,%RH,103.954
10/10/14 6:15:01 AM,%RH,103.719
10/10/14 6:25:01 AM,%RH,103.602
10/10/14 6:35:01 AM,%RH,103.484
10/10/14 6:45:01 AM,%RH,103.719
10/10/14 6:55:01 AM,%RH,103.602
10/10/14 7:05:01 AM,%RH,103.719
