1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5B0000002EFDDD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Oct 08 19:05:01 CDT 2014
Mission Sample Count:  993
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Oct 08 19:05:01 CDT 2014
Total Mission Samples:  993
Total Device Samples:  12273
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/8/14 7:05:01 PM,C,23.394
10/8/14 7:15:01 PM,C,23.394
10/8/14 7:25:01 PM,C,23.457
10/8/14 7:35:01 PM,C,23.394
10/8/14 7:45:01 PM,C,23.144
10/8/14 7:55:01 PM,C,22.894
10/8/14 8:05:01 PM,C,22.206
10/8/14 8:15:01 PM,C,22.706
10/8/14 8:25:01 PM,C,22.394
10/8/14 8:35:01 PM,C,22.081
10/8/14 8:45:01 PM,C,21.894
10/8/14 8:55:01 PM,C,21.706
10/8/14 9:05:01 PM,C,22.269
10/8/14 9:15:01 PM,C,24.144
10/8/14 9:25:01 PM,C,24.207
10/8/14 9:35:01 PM,C,24.207
10/8/14 9:45:01 PM,C,24.269
10/8/14 9:55:01 PM,C,24.269
10/8/14 10:05:01 PM,C,24.269
10/8/14 10:15:01 PM,C,24.269
10/8/14 10:25:01 PM,C,24.269
10/8/14 10:35:01 PM,C,24.269
10/8/14 10:45:01 PM,C,24.207
10/8/14 10:55:01 PM,C,24.207
10/8/14 11:05:01 PM,C,24.207
10/8/14 11:15:01 PM,C,24.207
10/8/14 11:25:01 PM,C,24.207
10/8/14 11:35:01 PM,C,24.207
10/8/14 11:45:01 PM,C,24.207
10/8/14 11:55:01 PM,C,24.207
10/9/14 12:05:01 AM,C,24.269
10/9/14 12:15:01 AM,C,24.269
10/9/14 12:25:01 AM,C,24.332
10/9/14 12:35:01 AM,C,24.394
10/9/14 12:45:01 AM,C,24.457
10/9/14 12:55:01 AM,C,24.519
10/9/14 1:05:01 AM,C,24.582
10/9/14 1:15:01 AM,C,24.644
10/9/14 1:25:01 AM,C,24.769
10/9/14 1:35:01 AM,C,24.832
10/9/14 1:45:01 AM,C,24.957
10/9/14 1:55:01 AM,C,25.02
10/9/14 2:05:01 AM,C,25.145
10/9/14 2:15:01 AM,C,25.27
10/9/14 2:25:01 AM,C,25.395
10/9/14 2:35:01 AM,C,25.582
10/9/14 2:45:01 AM,C,25.77
10/9/14 2:55:01 AM,C,25.895
10/9/14 3:05:01 AM,C,26.145
10/9/14 3:15:01 AM,C,26.332
10/9/14 3:25:01 AM,C,26.582
10/9/14 3:35:01 AM,C,26.832
10/9/14 3:45:01 AM,C,27.082
10/9/14 3:55:01 AM,C,27.332
10/9/14 4:05:01 AM,C,27.644
10/9/14 4:15:01 AM,C,27.957
10/9/14 4:25:01 AM,C,28.332
10/9/14 4:35:01 AM,C,28.644
10/9/14 4:45:01 AM,C,29.019
10/9/14 4:55:01 AM,C,29.394
10/9/14 5:05:01 AM,C,29.768
10/9/14 5:15:01 AM,C,30.206
10/9/14 5:25:01 AM,C,30.58
10/9/14 5:35:01 AM,C,31.018
10/9/14 5:45:01 AM,C,31.392
10/9/14 5:55:01 AM,C,31.83
10/9/14 6:05:01 AM,C,32.204
10/9/14 6:15:01 AM,C,32.579
10/9/14 6:25:01 AM,C,33.016
10/9/14 6:35:01 AM,C,33.391
10/9/14 6:45:01 AM,C,33.765
10/9/14 6:55:01 AM,C,34.077
10/9/14 7:05:01 AM,C,34.452
10/9/14 7:15:01 AM,C,34.764
10/9/14 7:25:01 AM,C,35.139
10/9/14 7:35:01 AM,C,35.451
10/9/14 7:45:01 AM,C,35.825
10/9/14 7:55:01 AM,C,36.137
10/9/14 8:05:01 AM,C,36.45
10/9/14 8:15:01 AM,C,36.699
10/9/14 8:25:01 AM,C,36.949
10/9/14 8:35:01 AM,C,37.198
10/9/14 8:45:01 AM,C,37.386
10/9/14 8:55:01 AM,C,37.511
10/9/14 9:05:01 AM,C,37.635
10/9/14 9:15:01 AM,C,37.76
10/9/14 9:25:01 AM,C,37.823
10/9/14 9:35:01 AM,C,37.885
10/9/14 9:45:01 AM,C,37.947
10/9/14 9:55:01 AM,C,37.947
