,Date,Values
0,11/29/14 5:25:01 PM,22.946
1,11/29/14 5:55:01 PM,22.946
2,11/29/14 6:25:01 PM,23.009
3,11/29/14 6:55:01 PM,23.009
4,11/29/14 7:25:01 PM,23.009
5,11/29/14 7:55:01 PM,23.009
6,11/29/14 8:25:01 PM,23.009
7,11/29/14 8:55:01 PM,22.946
8,11/29/14 9:25:01 PM,22.946
9,11/29/14 9:55:01 PM,22.946
10,11/29/14 10:25:01 PM,22.946
11,11/29/14 10:55:01 PM,22.946
12,11/29/14 11:25:01 PM,22.946
13,11/29/14 11:55:01 PM,22.946
14,11/30/14 12:25:01 AM,22.946
15,11/30/14 12:55:01 AM,22.946
16,11/30/14 1:25:01 AM,22.946
17,11/30/14 1:55:01 AM,22.946
18,11/30/14 2:25:01 AM,22.884
19,11/30/14 2:55:01 AM,22.946
20,11/30/14 3:25:01 AM,22.946
21,11/30/14 3:55:01 AM,22.946
22,11/30/14 4:25:01 AM,22.946
23,11/30/14 4:55:01 AM,22.946
24,11/30/14 5:25:01 AM,22.946
25,11/30/14 5:55:01 AM,22.946
26,11/30/14 6:25:01 AM,22.946
27,11/30/14 6:55:01 AM,22.946
28,11/30/14 7:25:01 AM,22.946
29,11/30/14 7:55:01 AM,22.946
30,11/30/14 8:25:01 AM,22.946
31,11/30/14 8:55:01 AM,22.946
32,11/30/14 9:25:01 AM,22.946
33,11/30/14 9:55:01 AM,22.946
34,11/30/14 10:25:01 AM,22.946
35,11/30/14 10:55:01 AM,22.946
36,11/30/14 11:25:01 AM,22.946
37,11/30/14 11:55:01 AM,22.946
38,11/30/14 12:25:01 PM,22.946
39,11/30/14 12:55:01 PM,22.946
40,11/30/14 1:25:01 PM,23.072
41,11/30/14 1:55:01 PM,22.634
42,11/30/14 2:25:01 PM,20.882
43,11/30/14 2:55:01 PM,19.631
44,11/30/14 3:25:01 PM,18.316
45,11/30/14 3:55:01 PM,17.001
46,11/30/14 4:25:01 PM,15.749
47,11/30/14 4:55:01 PM,14.558
48,11/30/14 5:25:01 PM,13.493
49,11/30/14 5:55:01 PM,12.49
50,11/30/14 6:25:01 PM,11.612
51,11/30/14 6:55:01 PM,10.797
52,11/30/14 7:25:01 PM,10.107
53,11/30/14 7:55:01 PM,9.417
54,11/30/14 8:25:01 PM,8.853
55,11/30/14 8:55:01 PM,8.288
56,11/30/14 9:25:01 PM,7.849
57,11/30/14 9:55:01 PM,7.409
58,11/30/14 10:25:01 PM,7.033
59,11/30/14 10:55:01 PM,6.656
60,11/30/14 11:25:01 PM,6.342
61,11/30/14 11:55:01 PM,5.966
62,12/1/14 12:25:01 AM,5.589
63,12/1/14 12:55:01 AM,5.275
64,12/1/14 1:25:01 AM,5.024
65,12/1/14 1:55:01 AM,4.773
66,12/1/14 2:25:01 AM,4.522
67,12/1/14 2:55:01 AM,4.27
68,12/1/14 3:25:01 AM,4.082
69,12/1/14 3:55:01 AM,3.831
70,12/1/14 4:25:01 AM,3.642
71,12/1/14 4:55:01 AM,3.454
72,12/1/14 5:25:01 AM,3.203
73,12/1/14 5:55:01 AM,3.014
74,12/1/14 6:25:01 AM,2.763
75,12/1/14 6:55:01 AM,2.511
76,12/1/14 7:25:01 AM,2.197
77,12/1/14 7:55:01 AM,1.883
78,12/1/14 8:25:01 AM,1.632
79,12/1/14 8:55:01 AM,1.443
80,12/1/14 9:25:01 AM,1.318
81,12/1/14 9:55:01 AM,1.255
82,12/1/14 10:25:01 AM,1.192
83,12/1/14 10:55:01 AM,1.255
84,12/1/14 11:25:01 AM,1.443
85,12/1/14 11:55:01 AM,1.632
86,12/1/14 12:25:01 PM,1.946
87,12/1/14 12:55:01 PM,2.197
88,12/1/14 1:25:01 PM,2.386
